ax,ay,az,gx,gy,gz,time
402789.0,-0.51,-0.47,10.45,0.11,0.43,-0.1
402802.0,-0.1,-0.2,11.16,-0.01,0.55,0.06
402815.0,0.74,0.12,11.32,-0.01,0.78,-0.02
402828.0,-0.3,0.91,10.04,0.04,0.81,-0.23
402841.0,-0.95,-0.39,9.84,0.78,0.6,-0.53
402854.0,-1.48,0.59,10.23,1.28,0.46,-0.65
402867.0,-0.84,0.5,10.69,1.77,0.42,-0.99
402880.0,-0.29,-0.21,11.38,1.89,0.51,-1.05
402893.0,-0.28,-0.01,11.1,1.62,0.75,-0.76
402906.0,-1.53,1.1,9.93,1.46,0.91,-0.65
402919.0,-2.08,0.59,9.25,1.26,0.98,-0.43
402932.0,-0.62,0.6,6.98,0.32,1.1,0.17
402945.0,-0.7,0.77,6.98,-0.54,1.08,0.38
402958.0,-1.31,-0.5,8.89,-1.52,1.04,0.23
402971.0,-1.24,-0.42,9.02,-1.59,0.87,0.05
402984.0,-0.86,-0.31,9.07,-0.75,0.35,-0.28
402997.0,-1.3,-0.07,9.17,-0.36,0.15,-0.41
403011.0,-1.38,0.14,10.69,0.28,-0.0,-0.61
403024.0,-1.59,0.75,10.68,0.71,-0.08,-0.7
403037.0,-1.81,1.17,10.87,1.75,-0.14,-1.01
403050.0,-2.35,1.31,9.68,2.26,-0.31,-1.04
403063.0,-2.98,1.1,8.76,2.46,-0.5,-0.63
403076.0,-4.25,1.17,8.43,2.36,-0.54,-0.19
403089.0,-2.43,2.33,8.45,1.8,-0.4,0.7
403102.0,1.44,3.11,8.44,0.74,-0.22,0.89
403115.0,-0.2,2.49,9.46,-1.15,0.22,0.7
403128.0,-1.36,1.64,9.09,-1.67,0.32,0.55
403141.0,-1.34,1.43,8.46,-2.02,0.33,0.54
403154.0,-1.15,1.05,8.67,-2.21,0.16,0.47
403167.0,-1.21,0.15,9.12,-2.36,0.14,-0.01
403180.0,-0.65,-0.73,10.56,-1.91,-0.02,-0.13
403193.0,-0.3,-0.25,11.22,-0.49,-0.23,-0.15
403206.0,-1.98,1.05,10.56,-0.35,-0.12,-0.06
403219.0,-2.06,1.13,10.05,-0.76,-0.06,0.02
403232.0,-1.31,-0.68,10.3,-0.7,-0.09,0.02
403245.0,-1.02,-0.66,10.79,-0.23,0.04,-0.12
403259.0,-1.68,-0.42,11.08,-0.18,0.15,-0.24
403272.0,-0.86,0.12,11.48,-0.2,0.26,-0.29
403285.0,-0.34,0.82,12.52,-0.53,0.27,-0.16
403298.0,-0.43,0.57,12.99,-0.92,0.23,0.08
403311.0,-1.35,-0.53,14.99,-0.86,0.01,0.38
403324.0,-1.41,-0.14,15.54,-0.33,-0.11,0.22
403337.0,-1.69,1.04,15.11,0.8,-0.49,0.02
403350.0,-2.22,1.23,15.21,1.02,-0.65,0.08
403363.0,-2.16,0.91,14.35,0.89,-1.02,0.19
403376.0,-2.82,1.04,13.98,0.75,-1.2,0.2
403389.0,-3.34,1.46,11.7,0.45,-1.51,0.36
403402.0,-2.22,1.39,10.4,0.5,-1.62,0.52
403415.0,-2.12,1.3,9.2,0.78,-1.67,0.74
403428.0,-0.77,0.65,6.7,1.31,-1.76,0.79
403441.0,-0.64,0.72,4.24,1.68,-2.18,0.76
403454.0,-0.87,-0.37,-1.56,1.42,-2.16,0.83
403467.0,-0.62,-1.47,-4.08,0.28,-1.4,0.86
403480.0,0.05,-3.17,-6.12,-0.14,-0.72,0.66
403493.0,0.08,-3.17,-5.33,-0.18,0.77,0.06
403507.0,0.98,-1.3,-1.77,0.07,1.39,-0.14
403520.0,1.07,-0.79,0.8,0.5,2.09,-0.25
403533.0,1.01,0.79,7.33,0.61,2.17,-0.28
403546.0,0.37,0.76,11.01,0.61,1.98,-0.48
403559.0,-1.33,4.06,16.14,0.41,1.69,-0.51
403572.0,-2.07,6.11,18.57,-0.49,1.24,-0.07
403585.0,-2.67,5.37,23.38,-0.69,1.04,0.24
403598.0,-2.29,4.06,25.81,-0.25,0.44,0.66
403611.0,-1.98,1.36,26.4,0.07,0.01,0.7
403624.0,-1.41,-0.41,23.37,0.03,-0.97,0.44
403637.0,-1.97,-1.07,20.04,-0.22,-1.41,0.25
403650.0,-1.78,-1.04,16.58,-0.38,-1.8,-0.13
403663.0,-1.38,-0.32,9.14,-0.37,-1.7,-0.27
403676.0,-0.96,0.22,6.5,-0.32,-1.52,-0.3
403689.0,0.01,0.3,2.52,0.03,-1.15,-0.21
403702.0,0.44,0.35,0.93,0.27,-0.97,-0.2
403715.0,0.8,0.68,-1.76,0.59,-0.66,-0.2
403728.0,0.79,0.64,-2.38,0.57,-0.54,-0.17
403741.0,0.4,1.34,-3.47,0.13,-0.31,-0.24
403755.0,0.51,2.17,-3.52,-0.17,-0.07,-0.28
403768.0,0.8,2.75,-2.92,-0.5,0.68,-0.09
403781.0,1.22,2.08,2.24,-0.4,1.11,0.02
403794.0,1.32,1.64,6.79,0.05,1.32,0.02
403807.0,0.23,1.4,16.25,0.12,1.12,-0.09
403820.0,-1.25,2.1,19.3,-0.27,0.38,-0.28
403833.0,-3.51,3.74,24.21,-0.46,-0.04,-0.28
403846.0,-3.91,3.34,26.75,-0.5,-0.48,0.26
403859.0,-2.02,0.17,26.19,-0.25,-0.94,0.5
403872.0,-0.94,-1.26,23.7,-0.29,-1.79,0.41
403885.0,0.48,-1.31,16.55,-0.45,-2.08,0.19
403898.0,0.69,-0.94,12.18,-0.12,-2.05,-0.08
403911.0,0.96,-0.49,4.21,0.2,-1.76,-0.18
403924.0,1.11,0.04,0.92,0.3,-0.96,-0.26
403937.0,1.75,1.23,-4.53,0.21,-0.55,-0.23
403950.0,1.92,1.24,-5.9,0.21,0.33,-0.03
403963.0,1.53,-0.23,-5.82,0.31,0.67,0.0
403976.0,1.31,0.03,-5.07,0.48,1.12,-0.23
403989.0,0.78,2.3,-3.94,0.37,1.27,-0.27
404002.0,0.93,2.37,-1.29,0.02,1.79,-0.09
404016.0,0.55,1.51,4.92,-0.05,1.95,-0.05
404029.0,-0.58,0.87,9.21,-0.06,2.06,-0.09
404042.0,-3.27,0.98,19.03,-0.02,2.13,-0.19
404055.0,-2.94,1.52,23.49,0.02,1.93,-0.24
404068.0,-3.47,1.29,31.04,-0.08,1.08,-0.05
404081.0,-3.21,1.06,31.95,-0.12,0.31,0.04
404094.0,-1.49,0.93,27.23,-0.44,-1.34,0.22
404107.0,-0.92,0.8,22.58,-0.47,-1.84,0.25
404120.0,0.94,1.42,13.19,-0.07,-2.33,0.16
404133.0,1.57,1.54,8.47,-0.05,-2.29,0.13
404146.0,1.79,1.13,4.46,-0.16,-1.65,0.11
404159.0,2.01,0.42,-0.88,-0.09,-1.18,0.02
404172.0,1.75,0.59,-2.32,0.29,-0.29,-0.14
404185.0,1.13,1.24,-4.44,0.37,0.05,-0.12
404198.0,0.81,1.09,-4.85,0.21,0.73,-0.01
404211.0,0.07,-0.08,-3.82,0.24,1.13,0.01
404224.0,-0.41,-0.2,-1.74,0.36,1.84,-0.02
404237.0,-1.05,-1.01,3.93,0.22,2.05,-0.08
404250.0,-1.2,-1.17,7.96,0.35,2.37,-0.28
404264.0,-1.3,-0.2,17.85,0.61,2.27,-0.41
404277.0,-0.94,1.07,20.21,0.25,1.52,-0.64
404290.0,-2.15,5.62,26.16,-0.03,0.86,-0.61
404303.0,-1.92,6.34,26.41,-0.48,-0.27,0.0
404316.0,-1.49,4.58,23.22,-0.43,-0.64,0.3
404329.0,-1.28,2.81,21.04,-0.17,-1.28,0.51
404342.0,-1.26,0.39,14.68,-0.17,-1.56,0.49
404355.0,-1.24,-0.74,10.61,-0.14,-1.75,0.32
